Sample,CSA,R1,R2,Imin,Imax,Zpol,Ratio,J
AML,97.671,7.561,8.556,2465.163,2102.495,526.167,0.852882751,4567.658
AML,98.2,7.235,8.451,2374.641,1900.592,501.003,0.800370245,4275.233
AML,80.444,8.058,8.984,2483.833,2140.706,509.478,0.861855849,4624.539
AML,98.914,7.672,9.104,3058.823,2295.086,583.087,0.750316707,5353.909
AML,73.65,7.1,8.035,1720.347,1389.27,383.418,0.807552197,3109.617
AML,96.093,8.009,9.004,2836.542,2435.313,567.638,0.858549953,5271.855
AML,80.58,7.581,7.828,1946.258,1738.591,448.771,0.893299347,3684.849
AML,96.279,7.571,8.591,2421.612,2060.741,513.529,0.850979017,4482.353
AML,112.841,8.132,8.799,3216.639,2715.291,661.633,0.844139178,5931.93
AML,129.208,8.505,9.576,3986.224,3418.947,754.4,0.857690637,7405.171
AML,79.679,7.582,7.982,1986.287,1764.379,461.615,0.888279992,3750.666
AML,104.195,8.981,9.832,3776.05,3277.768,695.917,0.868041472,7053.818
AML,115.359,7.484,9.065,3208.434,2352.551,603.247,0.733239643,5560.985
AML,118.999,8.669,10.557,4557.083,3510.991,759.947,0.770447016,8068.074
AML,90.372,7.701,8.75,2523.558,2052.655,515.494,0.813397196,4576.213
AML,88.455,7.245,8.222,2184.971,1723.689,473.568,0.788884155,3908.66
AML,122.839,8.039,9.532,3741.535,2922.891,690.643,0.781201031,6664.426
AML,108.32,8.417,9.366,3422.624,2944.281,675.069,0.860240856,6366.905
AML,114.214,8.258,9.298,3700.178,2948.264,709.197,0.796789776,6648.442
AML,126.302,8.971,10.217,4575.038,3735.011,809.941,0.816389066,8310.049
AML,119.542,8.008,9.921,4223.465,2968.132,719.276,0.702771776,7191.597
AML,134.594,8.388,9.489,4070.962,3378.025,774.171,0.829785441,7448.987
AML,122.967,8.814,10.582,4973.636,3605.465,802.197,0.724915334,8579.101
AML,120.436,8.212,10.375,4467.419,3110.139,725.374,0.696182516,7577.558
AML,156.779,9.498,11.491,5923.545,4942.302,981.718,0.834348688,10865.847
AML,126.033,8.441,9.662,4134.581,3250.423,754.693,0.786155356,7385.004
AML,126.679,9.602,10.227,4881.51,4286.624,891.279,0.878134839,9168.134
AML,111.461,9.135,10.153,4300.558,3576.313,751.478,0.831592784,7876.871
AML,127.584,8.533,9.51,3789.732,3330.99,745.223,0.878951335,7120.722
AML,86.147,6.96,7.843,1888.156,1502.375,425.878,0.795683725,3390.531
AML,109.325,7.882,9.298,3428.982,2584.447,643.169,0.753706785,6013.429
AML,100.678,8.991,9.793,3696.524,3042.293,674.689,0.82301454,6738.817
AML,112.427,8.006,9.702,3651.734,2620.182,644.074,0.717517212,6271.916
AML,98.314,7.519,8.826,2667.758,1993.525,521.15,0.747266056,4661.283
AML,57.613,7.537,8.093,1563.552,1349.827,353.384,0.863308032,2913.379
AML,59.737,7.415,7.963,1517.493,1365.593,354.276,0.899900691,2883.086
AML,106.814,8.83,9.365,3536.905,3246.952,700.407,0.918020699,6783.857
AML,91.934,7.825,6.232,2000.744,1566.017,450.535,0.782717329,3566.761
AML,113.31,8.097,9.638,3518.124,2711.387,642.48,0.770691141,6229.511
AML,121.248,9.003,9.652,4155.414,3585.908,795.315,0.862948433,7741.322
AML,140.967,9.014,10.621,5645.443,4064.481,904.762,0.719957849,9709.924
AML,129.519,8.58,9.454,3844.468,3471.289,767.618,0.902930913,7315.757
AML,147.44,8.811,9.721,4622.214,4062.31,890.106,0.878866708,8684.524
AML,133.367,8.321,9.947,4086.974,3278.843,739.955,0.802266665,7365.817
AML,123.573,8.184,9.594,3582.342,2815.642,660.852,0.785978,6397.984
AML,154.986,8.743,10.44,5566.652,4193.362,926.757,0.753300548,9760.014
AML,150.014,8.86,10.767,5886.518,4191.095,928.711,0.711982024,10077.613
