Sample,CSA,R1,R2,Imin,Imax,Zpol,Ratio,J
AML,68.264,4.632,6.282,920.241,457.484,203.16,2.011526086,1377.725
AML,54.686,4.926,6.394,824.958,423.834,183.825,1.946417701,1248.792
AML,57.075,4.944,6.572,899.079,510.235,198.796,1.762088057,1409.314
AML,62.429,4.46,6.49,907.802,434.808,191.727,2.087822671,1342.61
AML,64.54,4.885,6.267,888.896,521.853,211.612,1.703345578,1410.749
AML,65.829,4.797,6.412,926.197,489.315,205.141,1.892844078,1415.512
AML,47.248,4.165,5.822,602.493,297.366,142.343,2.026099151,899.859
AML,66.134,4.755,6.468,940.586,465.856,199.825,2.019048805,1406.442
AML,77.431,5.005,6.976,1349.54,664.994,271.553,2.029401769,2014.534
AML,78.064,5.185,6.426,1091.394,679.35,255.986,1.606526827,1770.744
AML,67.487,4.59,6.594,1034.333,505.082,221.95,2.047851636,1539.415
AML,85.75,5.486,6.941,1440.789,858.352,306.209,1.678552622,2299.141
AML,69.862,4.873,6.591,1068.982,552.481,230.705,1.934875588,1621.463
AML,90.957,5.427,8.044,2078.829,947.424,356.171,2.194190774,3026.253
AML,81.447,5.175,7.045,1420.448,774.664,296.062,1.833631097,2195.112
AML,70.57,5.123,6.351,876.073,571.547,217.08,1.532810075,1447.62
AML,91.589,5.21,7.248,1425.407,700.028,278.746,2.036214266,2125.435
AML,83.001,5.217,7,1409.266,718.717,286.874,1.96080794,2127.983
AML,88.444,5.117,7.464,1631.581,763.402,308.64,2.137250099,2394.983
AML,90.556,5.313,7.786,1794.586,821.306,324.81,2.185039437,2615.892
AML,102.643,5.898,7.338,1794.161,1069.339,357.21,1.677822468,2863.5
AML,102.884,5.342,7.563,1936.883,872.73,349.867,2.219338169,2809.613
AML,94.662,5.7,7.321,1699.916,938.783,339.092,1.81076564,2638.699
AML,90.8,5.33,7.233,1539.277,793.115,304.331,1.940799254,2332.392
AML,88.299,5.545,7.411,1634.574,868.969,314.504,1.881049842,2503.543
AML,111.987,6.327,7.057,1657.9,1367.056,419.468,1.212752075,3024.956
AML,91.048,5.527,7.508,1799.669,838.325,332.118,2.146743805,2637.994
AML,96.029,5.996,8.162,2335.8,1107.024,405.129,2.109981355,3442.824
AML,90.552,5.634,7.822,2023.557,1005.061,365.665,2.013367348,3028.618
AML,98.378,5.428,7.646,1999.542,931.134,361.714,2.147426686,2930.676
AML,65.901,4.516,7.015,1110.672,446.643,214.801,2.486710863,1557.315
AML,101.632,6.098,7.627,1843.857,1048.354,358.606,1.758811432,2892.211
AML,91.271,5.53,8.095,2126.231,923.46,359.357,2.302461395,3049.691
AML,103.742,5.413,7.687,1968.287,936.578,367.891,2.10157296,2904.865
AML,72.833,4.935,6.892,1184.11,595.531,247.889,1.988326384,1779.641
AML,58.086,4.678,6.63,951.808,473.744,203.421,2.009118849,1425.552
AML,61.557,4.825,6.669,976.337,509.792,211.015,1.915167362,1486.129
AML,88.81,5.259,7.447,1670.908,836.888,325.474,1.996573018,2507.796
AML,79.535,4.986,6.358,1057.154,635.281,248.313,1.664073064,1692.435
AML,97.977,5.687,7.719,2044.687,1039.624,382.587,1.96675625,3084.311
AML,92.76,5.706,7.264,1753.454,975.058,349.856,1.798307383,2728.512
AML,99.705,5.502,7.542,1831.756,908.251,342.189,2.016794917,2740.007
AML,103.032,5.946,7.34,1827.293,1151.393,385.631,1.587028061,2978.686
AML,111.346,6.382,7.735,2220.167,1386.47,431.769,1.60130908,3606.637
AML,97.402,5.476,7.387,1760.121,846.555,337.653,2.07915729,2606.676
AML,84.478,5.396,7.062,1497.317,782.649,305.954,1.913139862,2279.966
AML,103.043,5.44,8.015,2143.85,885.875,360.922,2.420036687,3029.725
AML,103.81,5.889,7.828,2164.942,1120.541,394.759,1.932050679,3285.483
UCL,69.666,4.784,6.558,1100.143,558.859,237.341,1.968551996,1659.002
UCL,61.768,4.563,5.83,662.615,394.727,173.127,1.678666521,1057.342
UCL,65.248,4.571,6.526,964.992,439.48,203.872,2.195758624,1404.472
UCL,58.888,4.565,5.996,743.538,403.888,182.305,1.840950957,1147.426
UCL,65.192,4.601,6.238,881.417,449.573,201.741,1.960564803,1330.99
UCL,57.88,4.511,5.709,682.194,399.091,174.59,1.709369542,1081.285
UCL,54.111,4.548,6.129,705.829,377.309,168.605,1.870692191,1083.138
UCL,56.639,4.124,5.876,686.407,304.178,160.475,2.256596467,990.585
UCL,45.681,3.925,5.834,579.128,260.465,138.852,2.22343885,839.593
UCL,64.034,4.514,6.331,896.017,409.748,196.691,2.186751369,1305.765
UCL,77.085,4.876,6.271,1018.314,584.339,240.044,1.742676768,1602.653
UCL,64.414,4.21,6.071,822.477,371.692,187.486,2.212791774,1194.169
UCL,56.982,4.149,6.028,711.336,313.223,163.318,2.271020966,1024.559
UCL,65.014,4.475,6.161,828.84,410.613,191.627,2.018543008,1239.453
UCL-NR,62.035,4.065,6.13,724.999,310.739,160.894,2.333144536,1035.738
UCL-NR,71.949,5.063,6.639,970.767,522.342,212.774,1.858489266,1493.109
UCL-NR,54.691,4.769,4.977,440.897,382.615,158.571,1.152325445,823.512
Turkey,90.528,6.247,6.998,1637.602,1215.576,380.457,1.347181912,2853.178
Turkey,100.995,6.035,6.91,1601.781,1161.297,365.92,1.379303486,2763.078
Turkey,105.815,6.719,7.134,1600.757,1387.102,390.993,1.154029769,2987.859
