Sample,CSA,R1,R2,Imin,Imax,Zpol,Ratio,J
AML,92.983,5.696,6.771,1274.659,981.497,325.057,0.770007508,2256.156
AML,93.06,5.994,6.867,1300.546,1096.1,338.524,0.84279987,2396.646
AML,83.578,6.58,7.255,1447.543,1223.013,358.389,0.844888891,2670.556
AML,95.779,6.155,7.005,1541.512,1236.943,388,0.802421908,2778.455
AML,83.044,5.591,6.987,1180.465,819.001,285.961,0.693795242,1999.466
AML,96.052,6.378,7.419,1509.303,1261.928,370.824,0.836099842,2771.231
AML,76.362,5.614,6.349,1016.296,837.522,285.533,0.824092587,1853.818
AML,97.455,5.944,6.8,1475.767,1153.032,372.715,0.781310329,2628.799
AML,109.862,6.757,7.5,1803.433,1517.315,427.557,0.84134814,3320.748
AML,116.695,6.573,7.9,2003.699,1536.947,446.243,0.767054832,3540.646
AML,86.073,5.913,6.969,1331.637,1006.931,332.755,0.756160275,2338.568
AML,110.968,6.364,7.656,1991.817,1485.083,442.828,0.74559209,3476.9
AML,105.503,6.191,7.683,1824.968,1316.625,400.111,0.721451006,3141.593
AML,120.877,6.841,8.066,2792.18,1981.006,568.551,0.709483629,4773.186
AML,103.029,6.439,7.543,1849.551,1423.135,427.39,0.769448909,3272.686
AML,89.856,5.693,6.912,1357.013,982.241,335.151,0.723825785,2339.254
AML,119.904,6.587,7.409,2011.979,1582.201,472.178,0.786390415,3594.18
AML,112.229,6.415,7.418,1877.341,1511.12,452.708,0.80492569,3388.461
AML,116.032,6.431,7.528,2063.436,1533.766,471.088,0.743306795,3597.202
AML,130.872,6.896,8.191,2846.311,2096.402,586.295,0.736533007,4942.713
AML,123.449,6.613,8.014,2219.607,1652.233,480.124,0.744380875,3871.84
AML,135.182,6.783,8.224,2575.235,1951.698,542.18,0.757871806,4526.933
AML,129.871,6.738,8.42,2792.911,1920.565,554.64,0.687657072,4713.476
AML,121.848,6.922,7.931,2365.458,1822.851,520.269,0.770612287,4188.309
AML,103.952,6.462,7.33,1819.632,1444.749,435.563,0.793978673,3264.381
AML,149.012,7.194,8.732,3376.994,2358.304,653.107,0.698344149,5735.298
AML,132.228,6.744,8.244,2729.122,1974.568,560.568,0.723517673,4703.69
AML,137.902,7.282,9.253,3761.63,2312.087,652.602,0.614650298,6073.717
AML,111.76,6.367,8.354,2412.011,1516.895,469.045,0.62889224,3928.906
AML,128.409,6.853,7.98,2489.207,1993.385,545.583,0.800811262,4482.592
AML,82.663,5.524,6.591,1168.408,864.299,306.135,0.739723624,2032.707
AML,116.792,6.126,7.834,2285.471,1518.896,474.43,0.664587737,3804.367
AML,107.925,6.33,7.898,2162.924,1394.648,447.59,0.644797506,3557.572
AML,116.681,6.476,7.562,2104.308,1562.139,475.043,0.74235283,3666.447
AML,95.989,5.656,6.617,1296.236,950.998,328.439,0.733661154,2247.234
AML,76.164,5.745,6.884,1187.079,875.304,298.525,0.737359519,2062.383
AML,71.811,5.544,6.671,1079.396,829.46,279.384,0.76844828,1908.856
AML,109.99,6.073,7.821,2064.293,1342.625,430.683,0.650404279,3406.918
AML,92.25,5.522,6.681,1264.632,914.437,323.306,0.723085451,2179.069
AML,110.178,6.501,7.772,2047.158,1480.894,449.106,0.723390183,3528.052
AML,118.186,6.661,7.701,2137.251,1595.867,477.93,0.746691427,3733.118
AML,133.423,6.782,7.931,2286.257,1892.774,515.724,0.827892052,4179.031
AML,120.309,5.898,7.642,2072.616,1231.054,431.188,0.593961448,3303.67
AML,144.561,7.16,8.398,2988.148,2264.721,620.499,0.757901215,5252.869
AML,131.448,6.483,8.266,2533.725,1692.042,508.644,0.667808069,4225.767
AML,118.003,6.575,7.864,2099.073,1524.323,458.465,0.726188656,3623.396
AML,148.841,6.796,8.587,3287.307,2263.502,638.749,0.688558142,5550.809
AML,156.888,7.03,8.737,3598.794,2545.447,690.032,0.707305558,6144.241
UCL,97.906,6.528,7.038,1567.151,1278.211,393.419,0.815627211,2845.362
UCL,83.901,5.657,6.724,1191.785,897.046,302.546,0.752691131,2088.831
UCL,92.922,5.883,6.41,1107.112,907.399,298.448,0.819609037,2014.511
